id,image_id,api_link,title,artist_title,date_start,date_end,date_display,place_of_origin,medium_display,artwork_type_title,category_titles
264927,f410d951-28e7-a5a2-3df3-5709e6098f9d,https://api.artic.edu/api/v1/artworks/264927,Saltscape Lattice 盐图晶格,Zhang Hong,2018.0,2018.0,2018,China,"Photography, salt crystals, and Chinese ink on xuan paper",Painting,['Arts of Asia']
11392,c09e1324-a54a-ce55-96a0-dc66034bf570,https://api.artic.edu/api/v1/artworks/11392,Saint John the Baptist Pointing to Christ,Bartolomé Estéban Murillo,1650.0,1660.0,c. 1655,Spain,Oil on canvas,Painting,['Painting and Sculpture of Europe']
71509,2140dc2a-d145-2c14-35c9-233f3530dc75,https://api.artic.edu/api/v1/artworks/71509,Going up the River at the Qingming Festival,Qiu Ying,1495.0,1551.0,Ming Dynasty (1369–1644); late 16th c. 1495–1551,China,Handscroll; ink and color on silk.,Painting,['Arts of Asia']
246527,026f5de4-05dc-715d-af89-4b729979d3b0,https://api.artic.edu/api/v1/artworks/246527,Calligraphy in Archaic Script,Zhang Yuzhao,1900.0,1999.0,20th century,China,"Hanging scrolls, ink and color on paper",Painting,['Arts of Asia']
236247,20fd9b79-1f6d-196b-62bb-245671185b95,https://api.artic.edu/api/v1/artworks/236247,Calligraphy in the Style of Shang Oracle Bone Inscriptions,Dong Zuobin,1948.0,1948.0,1948,China,Hanging scroll; ink and color on paper,Painting,['Arts of Asia']
97410,c4f80cb3-5eec-8243-29e9-e915136f7a9b,https://api.artic.edu/api/v1/artworks/97410,Back on Earth,Elizabeth Murray,1981.0,1981.0,1981,United States,Oil on two canvases,Painting,"['Contemporary Art', 'Chicago Artists', 'Women artists', 'SAIC Alumni and Faculty']"
51797,921038c5-e638-c607-07ed-3b0ebcc4cf90,https://api.artic.edu/api/v1/artworks/51797,The Drying After,Bob Thompson,1961.0,1961.0,1961,United States,Oil on wood panel,Painting,"['African American artists', 'African Diaspora', 'Contemporary Art']"
88374,60699af7-9aab-5e2b-7309-1266286b0810,https://api.artic.edu/api/v1/artworks/88374,Portrait of a Musician,Alessandro Longhi,1745.0,1750.0,ca. 1770,Italy,Oil on canvas,Painting,['Painting and Sculpture of Europe']
80720,e516f268-8d3d-cd63-f2f1-f23ace448507,https://api.artic.edu/api/v1/artworks/80720,Bathing of the Buddha Festival,Hua Ziyou,1833.0,1833.0,"Qing dynasty, 1833",China,"Hanging scroll, ink and color on paper",Painting,['Arts of Asia']
16281,d87fb077-01b8-3238-0a71-3a9c96dd6cec,https://api.artic.edu/api/v1/artworks/16281,John Philip Kemble,Martin Archer Shee,1790.0,1800.0,c.1795,Ireland,Oil on canvas,Painting,['Painting and Sculpture of Europe']
14620,b0effb1c-ff23-bbaa-f809-9fd94e31c1a0,https://api.artic.edu/api/v1/artworks/14620,Cliff Walk at Pourville,Claude Monet,1882.0,1882.0,1882,France,Oil on canvas,Painting,['Painting and Sculpture of Europe']
14598,95be2572-b53d-8e7b-abc9-10eb48d4fa5d,https://api.artic.edu/api/v1/artworks/14598,The Beach at Sainte-Adresse,Claude Monet,1867.0,1867.0,1867,France,Oil on canvas,Painting,"['Painting and Sculpture of Europe', 'Essentials']"
221814,4690a926-8782-d904-27ee-e38b400f7c87,https://api.artic.edu/api/v1/artworks/221814,American Horizon,Jane Wilson,2000.0,2000.0,2000,United States,Oil on linen,Painting,"['Contemporary Art', 'Women artists']"
20449,65272293-e9c9-fc2b-887c-0e9687ec4221,https://api.artic.edu/api/v1/artworks/20449,Delfina II,Jack Youngerman,1964.0,1964.0,1964,United States,Acrylic on canvas,Painting,['Contemporary Art']
27992,2d484387-2509-5e8e-2c43-22f9981972eb,https://api.artic.edu/api/v1/artworks/27992,A Sunday on La Grande Jatte — 1884,Georges Seurat,1884.0,1886.0,1884/86,France,Oil on canvas,Painting,"['Painting and Sculpture of Europe', 'Art Institute Icons', 'Essentials']"
83913,774ee859-50d5-c409-ae4d-91cca87785b8,https://api.artic.edu/api/v1/artworks/83913,The Orator and the Ladies,Gerald McLaughlin,1955.0,1955.0,1955,United States,Oil on panel,Painting,['Contemporary Art']
14316,b90e3693-6ae7-b16b-da7e-ad5d3363d8ca,https://api.artic.edu/api/v1/artworks/14316,Classic Boundaries I,Theodore Stamos,1961.0,1961.0,1961,United States,Oil on canvas,Painting,['Contemporary Art']
260060,6a0b024a-a2ad-e36b-b830-6a1a1080273e,https://api.artic.edu/api/v1/artworks/260060,Sea and Distant Mountains,Noro  Kaiseki,1812.0,1812.0,1812,Japan,Hanging scroll; ink and light colors on silk,Painting,['Arts of Asia']
260054,49dcd33c-4523-1bf5-60d1-f90fc36ea6b4,https://api.artic.edu/api/v1/artworks/260054,Calligraphy,Nukina Suo,1800.0,1850.0,Early–mid-19th century,Japan,"Hanging scroll, ink on paper",Painting,['Arts of Asia']
60623,84346127-0ac3-f514-9fbf-1c2a1be58f03,https://api.artic.edu/api/v1/artworks/60623,Quadrangles in Two Planes,Irene Rice Pereira,1945.0,1945.0,1945,United States,Oil on glass and board,Painting,"['Women artists', 'Arts of the Americas']"
60239,1f1931d1-06f4-c005-a75d-1a0b12470d92,https://api.artic.edu/api/v1/artworks/60239,The Essex Canal,Albert Pinkham Ryder,1896.0,1896.0,c. 1896,United States,Oil on canvas mounted on board,Painting,['Arts of the Americas']
72398,ea5875fc-48ab-037d-3eec-86ccf6e9be60,https://api.artic.edu/api/v1/artworks/72398,Cows in a Pond at Sunset,Sanford Robinson Gifford,1860.0,1860.0,1860,New York,Oil on canvas,Painting,['Arts of the Americas']
68784,8c63372e-dfd6-ab25-cfc8-a6569f25f0c8,https://api.artic.edu/api/v1/artworks/68784,Summer in the Catskills,George Inness,1867.0,1867.0,1867,United States,Oil on canvas,Painting,['Arts of the Americas']
68388,842d212c-c755-f372-d73f-7d0581051c46,https://api.artic.edu/api/v1/artworks/68388,Catskill Mountains,George Inness,1870.0,1870.0,1870,United States,Oil on canvas,Painting,['Arts of the Americas']
90894,5bd6d810-2df1-1968-c89a-2bd12f7af426,https://api.artic.edu/api/v1/artworks/90894,Icebound,Willard LeRoy Metcalf,1909.0,1909.0,1909,United States,Oil on canvas,Painting,['Arts of the Americas']
56089,ec5afc47-91bc-328b-63e5-0cc4c404547a,https://api.artic.edu/api/v1/artworks/56089,Portrait of a Painter,Paul Trebilcock,1927.0,1927.0,c. 1927,United States,Oil on canvas,Painting,['Arts of the Americas']
40773,16b1279a-dd39-b765-8708-9a8636f865ef,https://api.artic.edu/api/v1/artworks/40773,Centre Bridge,Edward Willis Redfield,1904.0,1904.0,1904,United States,Oil on canvas,Painting,['Arts of the Americas']
39954,be4d3662-4e77-6e13-9ff9-bcdebff0f56d,https://api.artic.edu/api/v1/artworks/39954,Seventeenth-Century Interior,Charles Gifford Dyer,1877.0,1877.0,1877,Munich,Oil on canvas,Painting,['Arts of the Americas']
64729,ef96e79b-f481-8114-0804-4bd39c101983,https://api.artic.edu/api/v1/artworks/64729,"Early Morning, Tarpon Springs",George Inness,1892.0,1892.0,1892,United States,Oil on canvas,Painting,['Arts of the Americas']
60869,7f17d572-34c3-eef8-0c03-ebde7a19e9dd,https://api.artic.edu/api/v1/artworks/60869,Swappin' Grounds,Rudolph F. Ingerle,1928.0,1928.0,1928,United States,Oil on canvas,Painting,['Arts of the Americas']
13763,045a1779-36a4-282f-49b8-b8fb007f8254,https://api.artic.edu/api/v1/artworks/13763,Snow-Crowned Hills,Guy Carleton Wiggins,1920.0,1920.0,c. 1920,United States,Oil on canvas,Painting,['Arts of the Americas']
16651,37b13357-3b22-69f5-c26a-4e81a97f8bc7,https://api.artic.edu/api/v1/artworks/16651,Martin A. Ryerson,Louis Betts,1913.0,1913.0,1913,United States,Oil on canvas,Painting,['Arts of the Americas']
