id,image_id,title,artist_title,date_start,date_end,date_display,place_of_origin,medium_display,artwork_type_title,category_titles
20543,464827b1-0dc5-5522-4dad-6dd085d98367,Landscape,Gustave Loiseau,1895,1905,c. 1900,France,Oil on canvas,Painting,['Painting and Sculpture of Europe']
16643,ba63170f-ebfb-d39c-82b5-64c9b2b2643b,Child Playing: Annette Roussel in Front of a Wooden Chair,Édouard Jean Vuillard,1895,1905,c. 1900,France,Oil on cardboard,Painting,['Painting and Sculpture of Europe']
86998,07d8dd31-d44b-85aa-ab09-ca51ee86f631,"Sandvika, Norway",Claude Monet,1895,1895,1895,France,Oil on canvas,Painting,['Painting and Sculpture of Europe']
80450,e30b27db-b263-abb6-0005-ff238f8fd530,Portrait of a Woman,Charles Cottet,1895,1905,c. 1900,France,Oil on canvas,Painting,['Painting and Sculpture of Europe']
11312,132b782d-54e6-70e1-18f9-211468c09099,Woman Mending,Camille Pissarro,1895,1895,1895,France,Oil on canvas,Painting,['Painting and Sculpture of Europe']
256797,a2666eb7-aab5-611d-b1ce-63980833610a,At the River's Bend (On the River II),Lilla Cabot Perry,1895,1895,1895,Giverny,Oil on canvas,Painting,"['Women artists', 'Arts of the Americas']"
121377,56a4af78-1d23-3e2a-6119-8aa47e0cf285,Boats at Rest,Arthur Wesley Dow,1895,1895,c. 1895,Ipswich,Oil on canvas,Painting,['Arts of the Americas']
146559,131a927a-05db-f32b-0fe8-b7cad95ebe09,The Gathering at the Orchid Pavilion (front); Geese among Reeds (back),Noguchi Shohin,1895,1905,1900,Japan,"Pair of six-panel screens; ink, colors, and gold on silk (front); ink and silver on paper (back)",Painting,"['Arts of Asia', 'Women artists']"
97896,39fd7277-7714-ba0a-7218-7633f7a88923,First and Best Camp of the Trip,Frederic Remington,1895,1895,1895,New York,Oil on canvas,Painting,['Arts of the Americas']
72864,a75b2aba-0042-ae61-b3a0-0204e2b29b3c,Riter Fitzgerald,Thomas Eakins,1895,1895,1895,Philadelphia,Oil on canvas,Painting,['Arts of the Americas']
53213,0f9304d9-e93d-7169-e1ab-48d3cc664dde,Nude Girl in Doorway,Anders Zorn,1895,1905,c. 1900,Sweden,Oil on canvas,Painting,['Painting and Sculpture of Europe']
39652,8b49881c-2e3d-be54-bf70-c131d60c1c93,Maria Sheldon Scammon,Anders Zorn,1895,1895,1895,Sweden,Oil on canvas,Painting,['Painting and Sculpture of Europe']
90062,9eb5693e-eeea-b2cd-a021-18628daf6182,Ghost Dance (The Vision of Life),Ralph Albert Blakelock,1895,1897,1895–97,United States,Oil on canvas,Painting,['Arts of the Americas']
157924,64106540-36d7-23eb-0556-c07306075745,Still Life with Currency,Charles Alfred Meurer,1895,1895,1895,United States,Oil on canvas,Painting,['Arts of the Americas']
